Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
go-ethereum,RetroPGF 5,Aug 2024,"234,544.68","$332,350"
Protocol Guild,RetroPGF 5,Aug 2024,"223,384.19","$316,535"
Solidity,RetroPGF 5,Aug 2024,"204,725.25","$290,096"
Conduit OP Stack Contributions,RetroPGF 5,Aug 2024,"173,764.96","$246,225"
Account Abstraction - ERC-4337,RetroPGF 5,Aug 2024,"163,047.79","$231,039"
OP Reth,RetroPGF 5,Aug 2024,"160,975.55","$228,102"
Kurtosis optimism package,RetroPGF 5,Aug 2024,"155,951.75","$220,984"
Nethermind Ethereum Execution Client,RetroPGF 5,Aug 2024,"155,898.10","$220,908"
go-libp2p,RetroPGF 5,Aug 2024,"144,461.28","$204,702"
OP Nethermind,RetroPGF 5,Aug 2024,"141,374.50","$200,328"
Sedge,RetroPGF 5,Aug 2024,"140,781.79","$199,488"
Erigon,RetroPGF 5,Aug 2024,"139,506.13","$197,680"
Lighthouse,RetroPGF 5,Aug 2024,"139,506.13","$197,680"
Ethereum Attestation Service (EAS),RetroPGF 5,Aug 2024,"132,268.50","$187,424"
Asterisc,RetroPGF 5,Aug 2024,"132,114.17","$187,206"
Revm,RetroPGF 5,Aug 2024,"131,833.29","$186,808"
Delta Network Upgrade,RetroPGF 5,Aug 2024,"130,725.11","$185,237"
OP Erigon,RetroPGF 5,Aug 2024,"129,644.74","$183,707"
Rollup-as-a-Service Platform,RetroPGF 5,Aug 2024,"124,577.52","$176,526"
ethereumjs-monorepo,RetroPGF 5,Aug 2024,"124,160.46","$175,935"
OP Succinct: Full ZK Validity Proving of OP Stack Rollups with SP1,RetroPGF 5,Aug 2024,"123,471.18","$174,959"
TechNERDs Program,RetroPGF 5,Aug 2024,"121,704.42","$172,455"
Vyper,RetroPGF 5,Aug 2024,"121,021.57","$171,488"
Besu,RetroPGF 5,Aug 2024,"121,021.57","$171,488"
roll-op,RetroPGF 5,Aug 2024,"119,750.72","$169,687"
Maintaining simple-optimism-node,RetroPGF 5,Aug 2024,"114,923.91","$162,847"
AWS KMS and YubiHSM signer for OP Stack,RetroPGF 5,Aug 2024,"111,246.35","$157,636"
Code4rena,RetroPGF 5,Aug 2024,"107,882.95","$152,870"
Nimbus,RetroPGF 5,Aug 2024,"106,024.66","$150,237"
Upnode Deploy,RetroPGF 5,Aug 2024,"103,201.67","$146,237"
Lodestar,RetroPGF 5,Aug 2024,"102,362.62","$145,048"
Fault Dispute Game Audit Contest,RetroPGF 5,Aug 2024,"100,320.34","$142,154"
Permissionless ZK Fault Proof System,RetroPGF 5,Aug 2024,"97,542.23","$138,217"
Formal Verification of Optimism's L1 pausability mechanism,RetroPGF 5,Aug 2024,"96,461.86","$136,686"
One-click bare metal node deployment,RetroPGF 5,Aug 2024,"95,616.70","$135,489"
Solady,RetroPGF 5,Aug 2024,"95,072.81","$134,718"
hildr,RetroPGF 5,Aug 2024,"94,609.79","$134,062"
op-besu,RetroPGF 5,Aug 2024,"94,146.78","$133,406"
Rust Libp2p,RetroPGF 5,Aug 2024,"93,469.11","$132,446"
Fault Proofs security research,RetroPGF 5,Aug 2024,"92,603.39","$131,219"
Node Guardians,RetroPGF 5,Aug 2024,"91,939.13","$130,278"
