Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
clr.fund,Round 5,Jan 2023,,$169.00
Rotki,Round 5,Jan 2023,,$134.00
Hardhat,Round 5,Jan 2023,,$123.00
TrueBlocks,Round 5,Jan 2023,,$125.00
Turbo-Geth,Round 5,Jan 2023,,$122.00
ETHDenver,Round 5,Jan 2023,,$121.00
Ethereum in french : BanklessFR TheDailyGweiFR MetaversalFR,Round 5,Jan 2023,,$110.00
Geo Web,Round 5,Jan 2023,,$115.00
BrightID,Round 5,Jan 2023,,$44.00
Proof of Humanity,Round 5,Jan 2023,,$59.00
Shir Ya Khat - Persian Blockchain Podcast,Round 5,Jan 2023,,$36.00
