Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
clr.fund,Round 7,Jan 2023,,"$1,122.00"
BrightID,Round 7,Jan 2023,,"$1,022.00"
Rekt,Round 7,Jan 2023,,$650.00
ETHDenver,Round 7,Jan 2023,,$620.00
WalletConnect,Round 7,Jan 2023,,$621.00
WhalerDAO,Round 7,Jan 2023,,$634.00
RadicalxChange,Round 7,Jan 2023,,$486.00
Rotki,Round 7,Jan 2023,,$550.00
OpenEthereum,Round 7,Jan 2023,,$545.00
Minerva Wallet,Round 7,Jan 2023,,$559.00
Giveth,Round 7,Jan 2023,,$527.00
Turbo-Geth,Round 7,Jan 2023,,$450.00
Proof of Humanity,Round 7,Jan 2023,,$542.00
Trueblocks,Round 7,Jan 2023,,$430.00
Upala - Digital Identity,Round 7,Jan 2023,,$414.00
Geo Web,Round 7,Jan 2023,,$392.00
Hardhat,Round 7,Jan 2023,,$368.00
Vyper.fun,Round 7,Jan 2023,,$393.00
Ethereum in french : BanklessFR TheDailyGweiFR MetaversalFR,Round 7,Jan 2023,,$323.00
Vocdoni,Round 7,Jan 2023,,$345.00
Ethereum Cats Holders,Round 7,Jan 2023,,$338.00
SNAFU Collective,Round 7,Jan 2023,,$187.00
DAO Deep Dive | Research & Education,Round 7,Jan 2023,,$181.00
Shir Ya Khat - Persian Blockchain Podcast,Round 7,Jan 2023,,$163.00
Prettier Solidity,Round 7,Jan 2023,,$66.00
