Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
clr.fund,Round 3,Jan 2023,,$302.00
BrightID,Round 3,Jan 2023,,$278.00
Giveth,Round 3,Jan 2023,,$148.00
Hardhat,Round 3,Jan 2023,,$151.00
BanklessFR,Round 3,Jan 2023,,$108.00
WalletConnect,Round 3,Jan 2023,,$120.00
Whaler DAO,Round 3,Jan 2023,,$106.00
RadicalxChange Foundation,Round 3,Jan 2023,,$102.00
Upala Digital Identity,Round 3,Jan 2023,,$99.00
Turbo-geth,Round 3,Jan 2023,,$92.00
TrueBlocks,Round 3,Jan 2023,,$73.00
OpenEthereum,Round 3,Jan 2023,,$73.00
Ethereum Cat Holders,Round 3,Jan 2023,,$66.00
The Daily Gwei FR,Round 3,Jan 2023,,$59.00
Rotki,Round 3,Jan 2023,,$56.00
Rekt,Round 3,Jan 2023,,$53.00
Vocdoni,Round 3,Jan 2023,,$42.00
Geo Web,Round 3,Jan 2023,,$28.00
Vyper.fun,Round 3,Jan 2023,,$14.00
Reward Courts,Round 3,Jan 2023,,$14.00
Aragon Voting2 app,Round 3,Jan 2023,,$14.00
ETHDenver,Round 3,Jan 2023,,$14.00
Science of the Future(the 100 years forward plan),Round 3,Jan 2023,,$10.00
Minerva Wallet,Round 3,Jan 2023,,$7.00
Matching Funds Multisig,Round 3,Jan 2023,,$0.00
