Optimism Geth Workshop,Wave/Round,Term,Amount (Token),Amount (USD)
Buidl Guidl,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28","$1,383.48"
ETH Venezuela Community Projects,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28","$1,364.96"
WAGMI LATAM,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28","$1,352.79"
ETH Kipu,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28","$1,340.64"
ReFi Japan,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28","$1,314.05"
DAO Times,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28","$1,251.29"
ProXify DAO,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28","$1,192.33"
0x Salon,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28","$1,104.83"
Gravity DAO,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28","$1,097.65"
Ethereum Mexico,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28","$1,059.32"
SISU Web3 Education Hub Focusing on Inclusion ,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28","$1,048.07"
DeFi Toronto,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$897.01
LOA Labs : ReFi by South,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$800.52
MEV Watch,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$786.12
The Gallery DAO,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$783.24
Bu Zhi DAO,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$760.78
WTF Academy,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$711.65
Impact DAO Course + IRL/Online Events: Educating Changemakers on How To Impact DAO,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$699.48
NoFunZone: Web3 Gamified Learning,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$685.97
JobStash,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$678.35
Paralelni Polis,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$665.22
Solow,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$649.18
Camp Decentral,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$639.73
Open Town,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$616.12
Dream DAO,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$612.24
Wild Sherpas DAO,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$604.36
ETHBarcelona,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$588.59
Somer Esat Ethereum Staking Guides (Ubuntu),GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$583.19
Women in Blockchain Farsi: Empowering and Educating the Farsi-Speaking Community,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$538.22
The Deep,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$536.36
CryptoFees.info & CryptoStats,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$506.70
ETHChile: An emerging and growing community,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$494.58
Mujeres en Crypto,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$491.72
Ethereum Colombia DAO,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$487.99
Chinwags: Focused Retreats for Web3 Builders,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$466.95
Pentacle,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$465.32
Impactopia,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$464.92
Web3ForGood,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$459.53
Impact Academy: making impact knowledge accessible,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$453.97
CriptoCuriosas,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$448.95
Built Different,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$446.94
Ethereum Costa Rica,GG17 Beta Web3 Community & Education,Apr 2023,"97,294.31",$435.86
KultureCity F THE NEVERS,GG17 Beta Web3 Community & Education,Apr 2023,"96,208.59",$420.51
SEED Latam,GG17 Beta Web3 Community & Education,Apr 2023,"94,410.32",$409.65
DHK dao,GG17 Beta Web3 Community & Education,Apr 2023,"94,410.32",$405.67
B<>rder/ess,GG17 Beta Web3 Community & Education,Apr 2023,"92,656.28",$390.55
Decentralizing Journalism to Restore Public Trust,GG17 Beta Web3 Community & Education,Apr 2023,"92,656.28",$378.06
Metapro Academy - Women Scholarship Program,GG17 Beta Web3 Community & Education,Apr 2023,"92,167.83",$371.35
DWeb Fellowship Fund,GG17 Beta Web3 Community & Education,Apr 2023,"90,435.15",$361.56
ETH Daily,GG17 Beta Web3 Community & Education,Apr 2023,"89,441.36",$350.55
Ethereum Dominicana,GG17 Beta Web3 Community & Education,Apr 2023,"89,441.36",$335.49
Wise Crowds Liberating Structures,GG17 Beta Web3 Community & Education,Apr 2023,"89,441.36",$313.41
40acres DAO,GG17 Beta Web3 Community & Education,Apr 2023,"85,313.14",$309.79
Ethereum Cali DAO,GG17 Beta Web3 Community & Education,Apr 2023,"84,472.39",$301.62
Fork DAO,GG17 Beta Web3 Community & Education,Apr 2023,"82,229.90",$290.00
L2 en Español,GG17 Beta Web3 Community & Education,Apr 2023,"81,987.91",$284.93
Empowering Ethereum Tegucigalpa,GG17 Beta Web3 Community & Education,Apr 2023,"81,987.91",$284.92
Espacio Cripto,GG17 Beta Web3 Community & Education,Apr 2023,"81,987.91",$277.96
EUCI - European Crypto Initiative - educating policy makers on decentralization,GG17 Beta Web3 Community & Education,Apr 2023,"79,503.43",$266.78
Ethereum Bolivia,GG17 Beta Web3 Community & Education,Apr 2023,"79,503.43",$260.25
ENS DAO Newsletter,GG17 Beta Web3 Community & Education,Apr 2023,"79,503.43",$259.77
ResearchHub Foundation - SciCon 2023,GG17 Beta Web3 Community & Education,Apr 2023,"77,515.84",$255.24
ETH Tricolor ETH Ecuador,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$246.19
Ethereum San Pedro Sula,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$225.80
The Neptune Project,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$222.36
Colledge: A open and free web3 academy for Latin America,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$211.34
Natives in Tech,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$206.43
Ethereum La Ceiba,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$198.54
Cryptoversidad,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$196.59
EthCartagena,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$196.27
ODTU Blockchain,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$180.52
MetaFest,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$164.76
Alysia Tech,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$154.48
Rehash,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$153.44
Impact DAOs Research + Podcast + Book : Impact DAO Media Season 2 ,GG17 Beta Web3 Community & Education,Apr 2023,"76,445.53",$149.55
Crypto Fundraising,GG17 Beta Web3 Community & Education,Apr 2023,"75,490.00",$148.86
Solarpunk Generation,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$137.85
Bankless Brasil DAO,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$136.16
Layer2News,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$118.63
Blockchain at the School: Web3 Education for Brazil’s Public School Students,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$118.04
CryptoConexión,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$112.30
DefiArgentina,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$111.09
Give the Gift of Education to Children in Poverty,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$106.03
The Follow Black Hare,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$103.55
ATX DAO,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$99.83
500K by 2030,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$96.92
L2 Planet,GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$94.00
Proof of Volunteer Protocol (POVP),GG17 Beta Web3 Community & Education,Apr 2023,"74,534.46",$92.89
Decentalized Science NYC (DeSciNYC),GG17 Beta Web3 Community & Education,Apr 2023,"73,252.54",$90.42
Kairos Research ,GG17 Beta Web3 Community & Education,Apr 2023,"72,511.10",$88.44
Ayaversity,GG17 Beta Web3 Community & Education,Apr 2023,"72,049.98",$85.52
DeSci Africa,GG17 Beta Web3 Community & Education,Apr 2023,"69,565.50",$81.86
DeFi & Web3 Developer Roadmap,GG17 Beta Web3 Community & Education,Apr 2023,"69,565.50",$79.38
DeVox,GG17 Beta Web3 Community & Education,Apr 2023,"69,565.50",$77.08
EIPs Fun,GG17 Beta Web3 Community & Education,Apr 2023,"67,081.02",$75.45
Fractal Visions,GG17 Beta Web3 Community & Education,Apr 2023,"66,145.36",$74.52
Cryptocurrency Jobs,GG17 Beta Web3 Community & Education,Apr 2023,"65,585.86",$73.60
DeSci LATAM,GG17 Beta Web3 Community & Education,Apr 2023,"65,585.86",$71.94
Web3TalentFair,GG17 Beta Web3 Community & Education,Apr 2023,"65,585.86",$68.27
DAOPlanet.org,GG17 Beta Web3 Community & Education,Apr 2023,"64,596.53",$62.39
Women Biz Education Program,GG17 Beta Web3 Community & Education,Apr 2023,"64,596.53",$58.18
Know the Blocks Maven,GG17 Beta Web3 Community & Education,Apr 2023,"64,596.53",$55.80
Let's demystify crypto and web3 in Africa,GG17 Beta Web3 Community & Education,Apr 2023,"63,335.41",$54.16
Women In DeFi ,GG17 Beta Web3 Community & Education,Apr 2023,"62,608.95",$53.18
Neurodiversity Foundation: Donate to our Projects,GG17 Beta Web3 Community & Education,Apr 2023,"62,112.05",$51.37
DAO Governance Collective,GG17 Beta Web3 Community & Education,Apr 2023,"62,112.05",$49.72
ARTXV,GG17 Beta Web3 Community & Education,Apr 2023,"62,112.05",$49.56
Bonding Curves Research Group,GG17 Beta Web3 Community & Education,Apr 2023,"61,771.18",$46.59
Pablito.eth,GG17 Beta Web3 Community & Education,Apr 2023,"60,616.89",$43.40
NFTs Arte L:atino (NALA),GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$42.69
"Book - Women of DeSci, ReFi, ReSci & DeFi",GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$40.44
TBC Paid Open Source,GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$40.37
cp0x,GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$37.94
Lunapark Web3 Hub,GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$33.39
Today in DeFi,GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$31.67
Blacks on Blockchain,GG17 Beta Web3 Community & Education,Apr 2023,"59,627.57",$27.71
Actocracy,GG17 Beta Web3 Community & Education,Apr 2023,"58,674.52",$27.57
Satoshi Succulents,GG17 Beta Web3 Community & Education,Apr 2023,"58,132.41",$27.25
Crypto Babes Club,GG17 Beta Web3 Community & Education,Apr 2023,"57,218.12",$27.07
Auradogs,GG17 Beta Web3 Community & Education,Apr 2023,"57,143.09",$26.55
Web3DC,GG17 Beta Web3 Community & Education,Apr 2023,"56,637.25",$25.47
Asilo Digital,GG17 Beta Web3 Community & Education,Apr 2023,"56,038.49",$25.19
0xEdu - The first decentralized K-12 curriculum and school,GG17 Beta Web3 Community & Education,Apr 2023,"55,430.78",$24.34
The DAOist and DAOCON in Paris,GG17 Beta Web3 Community & Education,Apr 2023,"54,658.61",$23.77
DeFinomics Labs,GG17 Beta Web3 Community & Education,Apr 2023,"54,658.61",$23.24
Filosofía Código,GG17 Beta Web3 Community & Education,Apr 2023,"54,049.41",$21.58
mevboost.pics,GG17 Beta Web3 Community & Education,Apr 2023,"52,755.99",$21.14
RightfulShare: Putting digital currency in the hands of South Africans to access their rightful share of the digital economy.,GG17 Beta Web3 Community & Education,Apr 2023,"52,174.12",$20.71
Njombe Innovation Academy,GG17 Beta Web3 Community & Education,Apr 2023,"51,677.23",$15.70
NFT Finance Digest,GG17 Beta Web3 Community & Education,Apr 2023,"50,913.00",$13.58
Machina,GG17 Beta Web3 Community & Education,Apr 2023,"50,461.82",$13.45
Techstation,GG17 Beta Web3 Community & Education,Apr 2023,"50,076.23",$11.00
Encriptados,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$10.93
RemittDAO,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$10.87
Decentralized Academy,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$10.62
MakeWater,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$10.57
Mental Wealth Academy,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$9.99
Web3Domains.com,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$9.49
EmprendeDAO,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$9.46
Culture Blocks,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$9.16
AA Chinese Community,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$9.03
Solidity School -  to help Spanish-speaking,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$8.97
The Red Guild,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$8.73
IberoAm: promoting and supporting iberoamerican impact projects,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$8.06
Learning Data Science on the Ethereum Blockchain with @omnianalytics,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$6.96
W3TALK Podcast en español - Tu conexion  a Web3,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$6.93
"forthepeoplexyz: good music, good causes, sounds good",GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$6.75
Buidlers,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$6.47
Social Impact - Through Culturally Rich Web3 Gaming & Entertainment,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$5.74
NatyShi Web3 & Tokenomics in Spanish,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$5.26
Factland DAO: Bet on Factual Disputes and Convene Random Sample Juries to Issue Verdicts and Rewards,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$3.87
CruzoCards - Multi-chain NFT marketplace & Web3 AI-powered platform for digital emotions,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$3.74
Decentralized Library,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$2.89
Treegens - The Most Transparent & Rewarding Tree Planting,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$32,640.53"
GainForest: A Planetary Computer for ReFi powered by DeSci and AI,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$25,661.44"
Atlantis,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$22,306.94"
$Earth - Solarpunk Dao,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$19,475.07"
Urbanika,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$18,246.00"
Web3beach,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$14,900.86"
Silvi,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$14,314.54"
GeoNFT & Fractionalizer,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$14,168.24"
Crowdmuse,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$9,596.91"
KOKO DAO saving forests in Colombia,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$9,531.92"
AgroforestDAO,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$9,361.65"
Shamba DMRV and Ecological Data Oracle.,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$9,304.78"
WarmOFF - CO₂ removal project,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$9,086.03"
Barichara Regeneration Fund – Prototyping a Bioregional Regenerative Economy,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$8,261.72"
Impact Verification Infrastructure Bundle,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$7,093.82"
Endangered Tokens: Endangered Trees as ReFi Biodiversity Assets ,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$7,029.86"
BETTER,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$6,943.40"
The Impact App + Eco Labs,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$6,873.13"
Kokonut Network; Building an Eco-Friendly Perpetual Fund,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$6,441.87"
Simbiotica | The source for impact insights on-chain.,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$6,149.51"
The Solar Foundation,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$5,818.38"
dMeter,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$4,874.14"
The Ecological Benefits Framework,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$4,594.31"
"AYOWECCA UGANDA:       Training rural farmers & indigenous communities on regenerative agriculture and planting fruit trees in schools, health centers & churches",GG17 Beta Climate Solution,Apr 2023,"49,689.64","$4,419.35"
Solarpunk nomads: tracing nomadic routes with the first two public goods adventure vehicles,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$4,086.25"
Digital Gaia: A Science-Based Co-Pilot to Defeat Moloch and Regenerate the Planet,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$4,062.69"
WaterDAO,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,916.03"
de_plan ostrom,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,809.89"
Rebuilding Turkiye,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,374.42"
Treejer Protocol,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,336.87"
Climate & Nature Hyperstructure | .basin,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,252.84"
Bloom Network,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,218.11"
Kula कुल Regenerative Commons,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,049.34"
R3WILD,GG17 Beta Climate Solution,Apr 2023,"49,197.71","$2,408.28"
Kawagumba village: a Kenyan community farm project ,GG17 Beta Climate Solution,Apr 2023,"47,956.47","$2,208.46"
Ekonavi,GG17 Beta Climate Solution,Apr 2023,"47,956.47","$1,824.02"
Younergy Crypto,GG17 Beta Climate Solution,Apr 2023,"47,702.06","$1,612.38"
TaterDAO,GG17 Beta Climate Solution,Apr 2023,"47,702.06","$1,568.08"
Non-Fungible Plants,GG17 Beta Climate Solution,Apr 2023,"46,328.63","$1,484.48"
Oceans DAO ,GG17 Beta Climate Solution,Apr 2023,"46,223.29","$1,461.96"
Watercycle,GG17 Beta Climate Solution,Apr 2023,"46,083.66","$1,456.06"
Climate Attestation Protocol,GG17 Beta Climate Solution,Apr 2023,"44,720.68","$1,362.40"
Healing Coral,GG17 Beta Climate Solution,Apr 2023,"44,720.68","$1,216.57"
Fightersgang,GG17 Beta Climate Solution,Apr 2023,"44,720.68","$1,151.55"
Myseelia 🍄,GG17 Beta Climate Solution,Apr 2023,"44,720.68","$1,121.98"
Sympoiesis,GG17 Beta Climate Solution,Apr 2023,"42,987.50","$1,104.30"
Astral Protocol,GG17 Beta Climate Solution,Apr 2023,"42,236.20","$1,087.14"
Cosmos for Humanity | C4H,GG17 Beta Climate Solution,Apr 2023,"40,084.63","$1,080.16"
Coffee Impact Collective,GG17 Beta Climate Solution,Apr 2023,"39,751.71","$1,037.68"
KNS Domains,GG17 Beta Climate Solution,Apr 2023,"39,751.71","$1,004.03"
The Wildlife Movement Institute: An Open-Source Tracking Community,GG17 Beta Climate Solution,Apr 2023,"39,751.71",$897.47
Rebioca,GG17 Beta Climate Solution,Apr 2023,"39,670.22",$894.68
regrò ,GG17 Beta Climate Solution,Apr 2023,"39,670.22",$841.55
Carbon Anti-Theft,GG17 Beta Climate Solution,Apr 2023,"38,548.73",$741.57
Litter Token,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$721.43
Green Digital Guardians,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$718.50
Cambiatus,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$687.96
oxygenchain,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$687.43
Sungura Mjanja Refi,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$557.45
ECORISE,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$480.87
Mini Meadows,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$411.23
Ranna: Filmmakers for Climate,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$409.80
Emerging.Eco,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$404.18
MesoReefDAO - Regenerating Reef Conservation with DeSci Web3 tools,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$402.76
Plants And Pillars,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$395.51
Bloomeria,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$365.40
Wild Friends: Play to save wildlife,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$361.06
Hazel - Mobile Game That Fights Climate Change,GG17 Beta Climate Solution,Apr 2023,"37,267.23",$344.87
KUMO - Money Backed By Nature,GG17 Beta Climate Solution,Apr 2023,"37,214.56",$340.15
Climecheck,GG17 Beta Climate Solution,Apr 2023,"37,023.75",$339.27
Bye Bye Plastic,GG17 Beta Climate Solution,Apr 2023,"35,451.08",$325.93
Agrii DAO,GG17 Beta Climate Solution,Apr 2023,"34,782.75",$320.81
"Nawonmesh - Regenerating Buxar (Bihar, India)",GG17 Beta Climate Solution,Apr 2023,"34,782.75",$314.17
Realtime Climate Data Extension (RealClime),GG17 Beta Climate Solution,Apr 2023,"34,782.75",$309.53
Knysna Alien Busters,GG17 Beta Climate Solution,Apr 2023,"34,175.05",$309.46
The Angry Teenagers - democratising investment in reforestation projects,GG17 Beta Climate Solution,Apr 2023,"32,795.16",$289.39
Avano,GG17 Beta Climate Solution,Apr 2023,"32,298.27",$288.41
Proof of Renewable Energy Production (PREPchain),GG17 Beta Climate Solution,Apr 2023,"31,801.37",$264.46
diosdao.xyz by Mycelia : Indigenous Public Goods for Global Coordination,GG17 Beta Climate Solution,Apr 2023,"31,801.37",$249.90
DeFood: Decentralized Food Security Network (DFSN),GG17 Beta Climate Solution,Apr 2023,"30,479.63",$249.73
Vean,GG17 Beta Climate Solution,Apr 2023,"30,479.63",$246.93
D-MRV for Africa,GG17 Beta Climate Solution,Apr 2023,"30,297.76",$222.77
7Energy - Energy Communities without Banks,GG17 Beta Climate Solution,Apr 2023,"30,297.76",$219.54
Tree Tales: Play to Plant,GG17 Beta Climate Solution,Apr 2023,"30,055.77",$215.80
DexGrid Community Microgrids,GG17 Beta Climate Solution,Apr 2023,"29,813.79",$202.90
Elephant in the Room Strategic Climate Solutions ,GG17 Beta Climate Solution,Apr 2023,"29,813.79",$198.67
Heating with Compute Power,GG17 Beta Climate Solution,Apr 2023,"29,813.79",$141.27
ECOHUELLAS,GG17 Beta Climate Solution,Apr 2023,"29,813.79",$136.42
Poops NFT,GG17 Beta Climate Solution,Apr 2023,"29,813.79",$124.63
DLTEO (soon to be Orbuculum),GG17 Beta Climate Solution,Apr 2023,"29,813.79",$120.88
CCC: photojournalism expeditions on the field to document Climate Change,GG17 Beta Climate Solution,Apr 2023,"28,819.99",$120.08
Empathia,GG17 Beta Climate Solution,Apr 2023,"28,318.13",$110.90
Pulso Verde,GG17 Beta Climate Solution,Apr 2023,"28,318.13",$107.09
DrinkUP,GG17 Beta Climate Solution,Apr 2023,"28,291.29",$102.18
Rescua.Earth,GG17 Beta Climate Solution,Apr 2023,"28,179.49",$94.47
Biolumen,GG17 Beta Climate Solution,Apr 2023,"27,826.20",$93.20
Fundación Tucultura ,GG17 Beta Climate Solution,Apr 2023,"27,826.20",$72.89
libpwrm,GG17 Beta Climate Solution,Apr 2023,"27,544.96",$44.93
Proof of Zero,GG17 Beta Climate Solution,Apr 2023,"27,329.30",$40.59
SISU Living Portals,GG17 Beta Climate Solution,Apr 2023,"27,329.30",$17.58
Regeneratie Coöperatie,GG17 Beta Climate Solution,Apr 2023,"27,329.30",$15.77
Palta3,GG17 Beta Climate Solution,Apr 2023,"27,329.30",$12.97
Block2030,GG17 Beta Climate Solution,Apr 2023,"26,709.18",$12.36
Mirage Arts Community - Putting into action or collective crafting and landscaping skills ,GG17 Beta Climate Solution,Apr 2023,"25,838.61",$9.88
Kakarot zkEVM,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$20,000.00"
rotki,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$20,000.00"
L2BEAT,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$20,000.00"
eth.limo,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$20,000.00"
DAppNode,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$16,424.61"
EthStaker,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$16,267.55"
Protocol Guild,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$14,748.71"
ethers.js,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$11,281.04"
Lighthouse by Sigma Prime,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$9,817.46"
clr.fund,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$7,949.41"
NiceNode: Run a node — just press start,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$6,583.56"
Otterscan,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,790.16","$6,403.81"
Ethereum on ARM,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,601.34","$5,054.91"
Ape Framework,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,579.48","$4,858.03"
wagmi,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$3,989.56"
Lodestar,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$3,980.00"
Rhino Review - Ethereum Staking Journal,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$3,477.64"
"Blockscout - Decentralized, Open-source Block Explorer Built for L1s, L2s and All Chains",GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$3,286.85"
Stereum - Ethereum Node Installer & Manager,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$1,735.40"
MetaGame,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$1,566.31"
Voltaire ERC-4337 Bundler,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$1,497.34"
Ephemery Testnet,GG17 Beta Ethereum Infrastructure,Apr 2023,"23,807.30",$471.91
Ethereum Staking Guides by CoinCashew,GG17 Beta Ethereum Infrastructure,Apr 2023,"23,607.55",$361.60
Dapplet,GG17 Beta Ethereum Infrastructure,Apr 2023,"23,164.32",$216.07
Prettier Solidity,GG17 Beta Ethereum Infrastructure,Apr 2023,"22,857.24",$28.24
zkBob,GG17 Beta ZK Technology,Apr 2023,"22,360.34","$15,000.00"
Proof of Innocence,GG17 Beta ZK Technology,Apr 2023,"22,360.34","$15,000.00"
Halo2 Backend for Noir,GG17 Beta ZK Technology,Apr 2023,"22,116.86","$15,000.00"
ZeroPool,GG17 Beta ZK Technology,Apr 2023,"22,116.86","$15,000.00"
4EVERLAND,GG17 Beta ZK Technology,Apr 2023,"22,116.86","$15,000.00"
